WSL Institute for Snow and Avalanche Research SLF
Avalanche accidents in Switzerland since 1970-1971
Update: 2023-12-19 16:13 (UTC)
avalanche.id,date,date.quality,hydrological.year,canton,municipality,"start.zone.coordinates.latitude","start.zone.coordinates.longitude",coordinates.quality,start.zone.elevation,start.zone.slope.aspect,start.zone.inclination,"forecasted.dangerlevel.rating1","forecasted.dangerlevel.rating2","forecasted.most.dangerous.aspect.and.elevation",number.dead,number.caught,number.fully.buried,activity
"afbfcea9-91d4-441d-ba46-c51304b608ed",1970-10-05,0,1970/71,BE,Guttannen,46.57536539,8.33961337,,,,,,,,0,3,0,transportation.corridor
"861431db-0239-4e52-b706-874356ac4e89",1970-10-23,0,1970/71,UR,Realp,46.57494541,8.41349712,0,2600,SE,,,,,1,5,1,transportation.corridor
"094f1b42-4a6f-4388-911e-6d2f85437099",1970-12-27,0,1970/71,SG,Mels,46.95853095,9.38751935,0,2770,NE,,,,,0,1,1,tour
"13d285cd-c1a6-4f2d-acd6-45d972a45e47",1970-12-28,0,1970/71,SG,Grabs,47.15748043,9.33046148,100,1980,NW,,,,,1,1,1,tour
"d248b0f6-70f5-49b1-bf5f-0147fcc05555",1971-01-03,0,1970/71,GR,Davos,46.69935397,9.92359508,0,2470,NW,,,,,1,1,1,tour
"5ec15626-13ab-4f76-8fec-e5f0de2a71b9",1971-01-03,0,1970/71,TI,Quinto,46.53204225,8.66783332,0,2170,S,,,,,1,1,1,tour
"4ae5edb2-62f6-49ba-9641-86b4b95461e8",1971-01-23,0,1970/71,GR,Langwies,46.81699976,9.79760357,250,2400,NW,,,,,0,2,0,transportation.corridor
"19613fa5-4fda-46eb-a3fe-7c77106c11d2",1971-01-24,0,1970/71,UR,Bürglen,46.853289,8.69877481,0,1400,N,,,,,1,1,0,transportation.corridor
"9a72293a-3b2f-46a6-91b6-7bfd7100ec90",1971-01-29,0,1970/71,BE,Adelboden,46.46441228,7.4952663,100,2230,SE,,,,,0,1,0,transportation.corridor
"1b7ea80b-c6f6-4f34-b24e-e5a8d132fd10",1971-01-30,0,1970/71,GL,Matt,47.01216215,9.23864704,0,2120,SW,,,,,0,1,0,tour
"a09d274b-8762-4a7d-ad61-f38891748841",1971-01-30,0,1970/71,GL,Matt,47.0049007,9.23695663,0,2000,SW,,,,,1,1,1,tour
"37f060a3-b977-4431-a853-d26e331d8b4a",1971-01-30,0,1970/71,SG,Amden,47.17172578,9.15350771,0,1720,N,,,,,1,2,1,tour
"0292e1fc-e8df-49d5-8360-d99805110caa",1971-01-31,0,1970/71,BE,"Erlenbach im Simmental",46.68375705,7.51640995,0,1790,NE,,,,,1,2,1,tour
"bcfc640f-8e77-43da-bf50-71033b750e8f",1971-01-31,0,1970/71,NW,Wolfenschiessen,46.85786748,8.46576757,0,2500,W,,,,,1,8,2,tour
"a3d57b1e-b5c0-4d2f-8d74-15eea53b2607",1971-01-31,0,1970/71,NW,Wolfenschiessen,46.78545649,8.38678938,100,1960,NW,,,,,0,2,1,offpiste
"0a85e4d5-bf18-43e3-8820-a0c93b16443b",1971-02-01,0,1970/71,GR,Tavetsch/Tujetsch,46.66953686,8.70252489,100,2240,E,,,,,0,1,1,offpiste
"30a95c1c-ddc5-41bf-b003-bfb1711fe229",1971-02-02,0,1970/71,GR,Langwies,46.81430251,9.79093099,0,2180,N,35_40,,,,1,3,2,tour
"dcad359c-b3c1-4501-a8de-35bd351478ea",1971-02-02,0,1970/71,VS,Nendaz,46.11657541,7.30294666,100,2100,E,,,,,1,1,1,offpiste
"5cd8bf20-01bd-402e-bd34-d86befc20560",1971-02-06,0,1970/71,GR,Parpan,46.7506336,9.57578873,100,1920,W,,,,,0,1,1,
"ebffe32c-a95a-4adb-b8b0-3fde94cd0142",1971-02-13,0,1970/71,AI,Schwende,47.25472101,9.40163237,100,1890,NW,,,,,1,2,2,tour
"5fcf04b7-00a8-478f-9aa5-44b3131af6cd",1971-02-17,0,1970/71,GL,Haslen,46.9516949,9.06436265,0,1795,N,35_40,,,,1,8,1,tour
"7eb9ab0f-3ff9-44d9-a7ab-75706a342ca6",1971-02-17,0,1970/71,Gl,Haslen,46.95145143,9.06566918,0,1780,N,,,,,0,1,0,tour
"ad77748b-4b60-4490-895a-0b02e157d1be",1971-02-17,0,1970/71,SG,Quarten,47.08082239,9.26084262,0,1650,N,,,,,1,2,2,transportation.corridor
"7c6e6d30-5126-4acc-9ad2-a6f02b6f47bb",1971-02-19,0,1970/71,SZ,Oberiberg,47.00513066,8.7796686,100,1560,NW,,,,,1,1,1,offpiste
"f76aa221-49db-4561-9d28-e17cdea71349",1971-02-19,0,1970/71,SG,Flums,47.08405185,9.29236864,100,1500,NW,,,,,0,7,2,offpiste
"882aa24f-b162-4c67-bed9-0e260739004d",1971-02-19,0,1970/71,,,47.09825418,9.60146213,,1790,NW,40_45,,,,2,5,0,offpiste
"0e421bf3-60ac-478f-a92b-c95e0a1d250d",1971-02-20,0,1970/71,BE,Grindelwald,46.61510491,7.94423958,500,2160,E,,,,,0,1,0,offpiste
"2b56fe1d-6402-4b94-a002-4439eabc191d",1971-02-20,0,1970/71,VD,Rougemont,46.45857791,7.21194975,100,1940,NE,,,,,0,3,0,offpiste
"5cae3037-04a3-42cf-83cd-611371962897",1971-02-21,0,1970/71,SZ,Riemenstalden,46.94420246,8.71463419,0,1580,N,,,,,1,3,1,tour
"e089e418-d90b-4da2-b3d5-c07961816833",1971-02-21,0,1970/71,VS,Monthey,46.20630342,6.94596254,500,1995,NW,,,,,1,11,1,tour
"a5014705-4475-4a48-bfbf-0a493aaf8699",1971-02-21,0,1970/71,Gl,Niederurnen,47.11863675,8.99595252,0,1580,NW,,,,,0,1,0,tour
"9fc4840c-4b94-4370-8c74-149400cb8724",1971-02-21,0,1970/71,Gl,Mühlehorn,47.0793993,9.1755777,250,1820,N,,,,,1,1,1,tour
"2f411b49-f4a9-45a0-bc2f-baf9a65230e2",1971-02-22,0,1970/71,NW,Wolfenschiessen,46.79894871,8.35951696,250,1900,NE,,,,,0,3,0,transportation.corridor
"192485d1-83d9-4c3c-a0e8-274fd885bb5d",1971-02-24,0,1970/71,NW,Beckenried,46.934148,8.47641845,100,1680,NW,,,,,0,1,0,transportation.corridor
"fa8bc0e4-e7a9-4732-9a9a-8edd0ee46002",1971-02-28,0,1970/71,BE,Diemtigen,46.54043331,7.54631834,0,2290,W,,,,,4,6,6,tour
"2a129686-8deb-4fd5-a282-017e0dce0f91",1971-02-28,0,1970/71,GR,Davos,46.7927009,9.83650469,0,1780,N,,,,,0,1,1,transportation.corridor
"3c3ab4ea-ffb1-4df3-b801-23e09730e983",1971-03-02,0,1970/71,SG,Pfäfers,46.97661235,9.50090907,0,1400,NW,,,,,2,2,2,transportation.corridor
"279b2c18-310b-4514-b507-18d93c1702c4",1971-03-21,0,1970/71,VS,Bourg-Saint-Pierre,45.91995121,7.25110485,0,2500,N,,,,,5,5,4,tour
"97d852e9-a68c-41a5-81a6-1abfcc9e9510",1971-03-21,0,1970/71,BE,Frutigen,46.52726848,7.60872169,100,1360,NE,,,,,0,1,1,offpiste
