WSL Institute for Snow and Avalanche Research SLF
Fatal avalanche accidents in Switzerland since 1936-1937
Update: 2023-12-19 16:13 (UTC)
avalanche.id,date,date.quality,hydrological.year,canton,municipality,"start.zone.coordinates.latitude","start.zone.coordinates.longitude",coordinates.quality,start.zone.elevation,start.zone.slope.aspect,start.zone.inclination,"forecasted.dangerlevel.rating1","forecasted.dangerlevel.rating2","forecasted.most.dangerous.aspect.and.elevation",number.dead,number.caught,number.fully.buried,activity
"1f094289-60d0-4472-a6fd-25702d34cbcd",1936-11-15,16,1936/37,BE,Därstetten,46.69594848,7.51263605,,,,,,,,1,1,0,tour
"c2be8254-1795-440e-a737-c98f737e5a1c",1936-12-15,16,1936/37,UR,"Schattdorf / Erstfeld",46.83635795,8.68395779,,,,,,,,1,1,1,tour
"6126861c-f5c1-4b3a-8d2e-b8420a6b1ebf",1936-12-15,16,1936/37,BE,"Reichenbach im Kandertal",46.64620656,7.65246182,,,,,,,,1,1,0,tour
"98bf87a6-9155-4520-b23a-069c3a0fbee7",1936-12-15,16,1936/37,NW,Wolfenschiessen,46.81158295,8.33182366,,,,,,,,1,1,0,tour
"d00175b2-a9c1-45e0-bf9d-c1c4fe13b8cb",1937-01-10,0,1936/37,"UR / NW","Isenthal / Beckenried",46.90612738,8.47121789,250,2100,NW,,,,,7,9,5,tour
"546ab1c7-2341-4e35-aa0f-04a0c85cc690",1937-01-10,0,1936/37,SG,Sevelen,47.13050272,9.39674752,500,2300,NW,,,,,2,4,2,tour
"92c64df9-d795-4492-984a-1e126e98c780",1937-01-10,0,1936/37,SG,Quarten,47.04977339,9.21542523,,,,,,,,1,5,2,tour
"775594f0-ded9-4ce4-8099-3ad42c09103a",1937-01-10,0,1936/37,UR,Realp,46.57516804,8.41376205,100,2600,SE,,,,,1,3,3,transportation.corridor
"2a43013a-9bed-4ede-b375-f1309544e286",1937-01-23,0,1936/37,VD,Ollon,46.32206709,7.07352309,,,,,,,,1,1,0,tour
"fced20aa-27b7-4db1-a955-760d1e67062c",1937-02-28,0,1936/37,GR,Poschiavo,46.37650042,10.02897239,250,2100,SE,,,,,3,4,0,transportation.corridor
"a0ad6128-ca68-4262-9d12-7bea55e74760",1937-03-14,0,1936/37,GR,Davos,46.72058613,9.92189119,,,,,,,,1,2,1,tour
